Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F26,P26_4,7,150000,200000,3612,186763.0,190375.0,40375.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_5,7,200000,250000,3612,243066.0,246678.0,46678.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_6,8,250000,300000,3612,250989.0,254601.0,4601.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_7,7,300000,350000,3612,343066.0,346678.0,46678.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_8,7,350000,400000,3612,353445.0,357057.0,7057.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_9,8,400000,450000,3612,400893.0,404505.0,4505.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_10,7,450000,500000,3612,487577.0,491189.0,41189.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_11,7,500000,550000,3612,538499.0,542111.0,42111.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_12,8,550000,600000,3612,580736.0,584348.0,34348.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_13,7,600000,650000,3612,602743.0,606355.0,6355.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_14,7,650000,700000,3612,693066.0,696678.0,46678.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_15,8,700000,750000,3612,700096.0,703708.0,3708.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_16,7,750000,800000,3612,750000.0,753612.0,3612.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_17,7,800000,850000,3612,802743.0,806355.0,6355.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_18,8,850000,900000,3612,890323.0,893935.0,43935.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_19,7,900000,950000,3612,940323.0,943935.0,43935.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_20,7,950000,1000000,3612,980487.0,984099.0,34099.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_21,8,1000000,1050000,3612,1000096.0,1003708.0,3708.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_22,7,1050000,1100000,3612,1093066.0,1096678.0,46678.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_23,7,1100000,1150000,3612,1100096.0,1103708.0,3708.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_24,8,1150000,1200000,3612,1180736.0,1184348.0,34348.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F27,P27_1,1,0,200000,7025,2743.0,9768.0,9768.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F27,P27_2,1,200000,400000,7025,270253.0,277278.0,77278.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F27,P27_3,8,400000,600000,7025,463725.0,470750.0,70750.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F27,P27_4,1,600000,800000,7025,670415.0,677440.0,77440.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F27,P27_5,1,800000,1000000,7025,927176.0,934201.0,134201.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F27,P27_6,8,1000000,1200000,7025,1140224.0,1147249.0,147249.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F28,P28_1,1,0,400000,1413,63529.0,64942.0,64942.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F28,P28_2,1,400000,800000,1413,494932.0,496345.0,96345.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F28,P28_3,8,800000,1200000,1413,879388.0,880801.0,80801.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F29,P29_1,1,0,200000,1860,9864.0,11724.0,11724.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
